PersonaID	A	B
PP202	"私は青森で生まれました。
私は山のそばに住んでいます。
私は昭和生まれです。
私は広告代理店勤務です。
私の趣味は写真撮影です。"	"私は秋田で生まれました。
私は学校のそばに住んでいます。
私は70年代の生まれです。
私は教師です。
私はチアリーダーをやっていました。"
PP251	"私は以前、宮崎に住んでいたことがあります。
私は兼業主婦です。
私は髪の毛が長いです。
私は負けず嫌いです。
私は浪費家です。"	"私は関東に住んでいます。
私は大学院卒です。
私は餃子作りが得意です。
私は姿勢が悪いです。
私は努力家です。"
PP302	"私は青森で生まれました。
私は山のそばに住んでいます。
私は昭和生まれです。
私は広告代理店勤務です。
私の趣味は写真撮影です。"	"私は新潟から出たことがありません。
私は実家暮らしです。
私は整体師です。
私は足が短いです。
私には弟がいます。"
PP321	"私は富山県に嫁いできました。
私は早生まれです。
私の誕生日は、ひな祭りの日です。
私は助産師です。
私の趣味はカラオケです。"	"私は長野で生まれ育ちました。
私の誕生日は、クリスマスイブです。
私は薬剤師です。
私は雪かきが得意です。
私は酸っぱいものが苦手です。"
PP322	"私は石川県に転勤してきました。
私は断ることが苦手です。
私は銀行員です。
私の趣味はゲームです。
私はオセロが得意です。"	"私は岐阜に引っ越してきて間もないです。
私は手先が器用です。
私は美容師になりたかったです。
私は事務職に就いています。
私の趣味はDIYです。"
PP387	"私はレストランで働いています。
私は見習いシェフです。
私は炒飯を作るのが得意です。
私は麻婆豆腐が好きです。
私は辛いものが好きです。"	"私は30代です。
私には子どもが1人います。
私は夫と死別しました。
私は明るさが取り柄です。
私はバスケットボール部に入っていました。"
PP414	"私の誕生日は11月22日、いい夫婦の日です。
私はキャビンアテンダントです。
私の趣味は映画鑑賞です。
私は晴れている日が好きです。
私には好きな人がいます。"	"私は千葉の学校に通っています。
私の誕生日は、バレンタインデーです。
私は看護師になりたいです。
私の趣味はヨガです。
私は注射が苦手です。"
PP481	"私は早寝早起きがモットーです。
私は新聞配達員です。
私はレバーが嫌いです。
私は海沿いの街で育ちました。
私は海の匂いを懐かしく感じます。"	"私は占いを信じるほうです。
私はパティシエです。
私はネガティブに考えがちです。
私はくさやを食べたことがありません。
私はお線香やマッチの匂いを懐かしく感じます。"
PP490	"私は2000年生まれです。
私は消防士になりたいです。
私は温泉が好きです。
私は納豆が嫌いです。
私は卓球部に入っていました。"	"私はハヤシライスが好きです。
私は安月給です。
私はパートナーと二人暮らしです。
私は外国暮らしに憧れています。
私はグリーンピースが嫌いです。"
PP506	"私は新潟から出たことがありません。
私は実家暮らしです。
私は整体師です。
私は足が短いです。
私には弟がいます。"	"私は早起きが苦手です。
私は高校生です。
私はピーマンが嫌いです。
私はおばあちゃん子です。
私は陸上部に入っています。"
PP532	"私は大阪在住です。
私の得意料理はたこ焼きです。
私は翻訳家です。
私の趣味は読書です。
私は暗記が得意です。"	"私は無神論者です。
私は女性です。
私は肥満体型です。
私はお取り寄せが好きです。
私は不規則な生活をしています。"
PP589	"私は平成生まれです。
私は警察官です。
私は2人の子持ちです。
私は偏食が激しいです。
私は柔道部に入っていました。"	"私はハヤシライスが好きです。
私は安月給です。
私はパートナーと二人暮らしです。
私は外国暮らしに憧れています。
私はグリーンピースが嫌いです。"
PP601	"私は北海道で生まれました。
私は東京に住んでみたいです。
私は一軒家に住んでいます。
私は介護福祉士です。
私は彼氏いない歴が長いです。"	"私は乙女座です。
私は小学生です。
私は占い師になりたいです。
私は身長が低いです。
私はニンジンが嫌いです。"
PP640	"私は田舎に住んでいます。
私の血液型はO型です。
私のことを大らかと言う人が多いです。
私の趣味はガーデニングです。
私は狭い場所が苦手です。"	"私は長い間、長崎に住んでいます。
私はフリーターです。
私はネットショッピングが好きです。
私はいずれ上京するつもりです。
私は気遣いが苦手です。"
PP649	"私は人と争うのが苦手です。
私は派遣社員です。
私は指が長いです。
私は絵を書くのが好きです。
私はタバコの匂いが苦手です。"	"私の住む県は、近畿地方にあります。
私は大卒です。
私の頭は白髪が目立ちます。
私は目鼻立ちがハッキリしています。
私は八方美人です。"
PP658	"私は九州に住んでいます。
私は高校中退しています。
私はパーマをかけています。
私はラーメンが好きです。
私は鈍感です。"	"私は離島の生まれです。
私は商社マンです。
私は鼻が低いです。
私にとって、ステーキはご馳走です。
私は自意識過剰なほうです。"
PP714	"私の誕生日は11月22日、いい夫婦の日です。
私はキャビンアテンダントです。
私の趣味は映画鑑賞です。
私は晴れている日が好きです。
私には好きな人がいます。"	"私は石川県に転勤してきました。
私は断ることが苦手です。
私は銀行員です。
私の趣味はゲームです。
私はオセロが得意です。"
PP755	"私は奈良在住です。
私は関西弁です。
私は高卒です。
私は茶髪です。
私は気分屋です。"	"私は一年中、温暖な地域で育ちました。
私は転職したことが一度もないです。
私は、のんびりした性格と人によく言われます。
私はウナギが大好物です。
私は弱虫な自分が嫌いです。"
PP841	"私は愛知で育ちました。
私は名古屋めしを愛してやみません。
私の趣味はプラモデルです。
私は人の目を見て話すことが苦手です。
私は初対面の人が苦手です。"	"私は鹿児島から引っ越してきました。
私は専業主婦です。
私は手が小さいです。
私は焼肉が大好物です。
私は香水の匂いが苦手です。"
PP1015	"私は茨城で生まれました。
私はパートタイマーです。
私はスーパーで働いています。
私は貯金が趣味です。
私は勉強が不得意です。"	"私は岐阜に引っ越してきて間もないです。
私は手先が器用です。
私は美容師になりたかったです。
私は事務職に就いています。
私の趣味はDIYです。"
PP1074	"私は姿勢が良いです。
私は空港会社に勤務しています。
私には尊敬する先輩がいます。
私には歳の離れた姉がいます。
私はしょうが焼きが好きです。"	"私は長男です。
私はバスの運転手です。
私は兄弟と暮らしています。
私は焼きそばを作るのが得意です。
私は女性が苦手です。"
PP1154	"私は関東に住んでいます。
私は大学院卒です。
私は餃子作りが得意です。
私は姿勢が悪いです。
私は努力家です。"	"私の住まいは、川のそばにあります。
私は団地暮らしです。
私は鉄道マンです。
私は集中力があります。
私が尊敬する人は、坂本龍馬です。"
PP1394	"私は20代前半です。
私は僧侶です。
私は鳥を飼っています。
私は両親と暮らしています。
私は野球部に入っていました。"	"私は乙女座です。
私は小学生です。
私は占い師になりたいです。
私は身長が低いです。
私はニンジンが嫌いです。"
PP1439	"私は、聞き上手と人からよく言われます。
私はセラピストです。
私はスタイルが良いです。
私は食べ歩きが好きです。
私は猫舌で熱いものが苦手です。"	"私は関東に住んでいます。
私は大学院卒です。
私は餃子作りが得意です。
私は姿勢が悪いです。
私は努力家です。"
PP1513	"私は山形で生まれました。
私の夢はファッションデザイナーです。
私はコンビニの店員です。
私は漫画を読むのが好きです。
私は暑さが苦手です。"	"私は三重県の県庁所在地に住んでいます。
私は獣医師です。
私は足が長いです。
私は乗馬が好きです。
私は閉所恐怖症です。"
PP1518	"私は埼玉出身で東京に暮らしています。
私は夏生まれです。
私は方向音痴です。
私は地図が読めないです。
私は雷が苦手です。"	"私は有明湾の近くに住んでいました。
私は古本屋が好きです。
私は農家です。
私は人付き合いが苦手です。
私は本屋の匂いを懐かしく感じます。"
PP1524	"私は山梨の方言が好きです。
私の誕生日は、七夕です。
私はホームヘルパーです。
私は胸板が厚いです。
私の趣味は将棋です。"	"私は田舎に住んでいます。
私の血液型はO型です。
私のことを大らかと言う人が多いです。
私の趣味はガーデニングです。
私は狭い場所が苦手です。"
PP1541	"私は愛知で育ちました。
私は名古屋めしを愛してやみません。
私の趣味はプラモデルです。
私は人の目を見て話すことが苦手です。
私は初対面の人が苦手です。"	"私は四国に住んでいます。
私は髪の毛を染めています。
私の髪の毛はストレートです。
私はうどんが好きです。
私は自分が大好きです。"
PP1610	"私は定年退職しました。
私は髪の毛が薄いです。
私は虫歯が1本もないです。
私は妻と熟年離婚しました。
私は釣りが趣味です。"	"私は滋賀県で開業しました。
私は医師です。
私はゴルフが得意です。
私は優柔不断です。
私は車の運転が下手です。"
PP1622	"私は石川県に転勤してきました。
私は断ることが苦手です。
私は銀行員です。
私の趣味はゲームです。
私はオセロが得意です。"	"私は、聞き上手と人からよく言われます。
私はセラピストです。
私はスタイルが良いです。
私は食べ歩きが好きです。
私は猫舌で熱いものが苦手です。"
PP1628	"私は運動が好きです。
私はマッサージ師です。
私はスポーツ観戦が趣味です。
私はテニスが好きです。
私はバレーボール部の主将を務めていました。"	"私は福岡の彼女と遠距離恋愛中です。
私は大学生です。
私は骨ばった体型です。
私は株取引をやっています。
私はお酒が苦手です。"
PP1642	"私は転勤族の家庭で育ちました。
私はインドア派です。
私は血液型が不明です。
私の趣味は手芸です。
私は機械に弱いです。"	"私は日本中を転々としています。
私は大学を中退しました。
私は転職経験が豊富です。
私はフリーランスで働いています。
私は仕切りたがりです。"
PP1644	"私は以前、高知の大学に通っていました。
私は体が柔らかいです。
私はボルダリングが好きです。
私の趣味は筋トレです。
私は苦いものが苦手です。"	"私が育ったのは、寒い地域です。
私はフレックスタイム制の会社で働いています。
私は中途採用の社員です。
私の出身地は、牛タンで有名なところです。
私は頑固です。"
PP1703	"私は以前、沖縄に住んでいたことがあります。
私は海のそばに住んでいます。
私はダンスが得意です。
私は怒りっぽいです。
私が尊敬する人は、母親です。"	"私は富山県に嫁いできました。
私は早生まれです。
私の誕生日は、ひな祭りの日です。
私は助産師です。
私の趣味はカラオケです。"
PP1417	"私の実家は群馬です。
私は秋に生まれました。
私は楽器メーカーに勤務しています。
私の趣味は音楽鑑賞です。
私は夕暮れを懐かしく感じます。"	"私は大阪在住です。
私の得意料理はたこ焼きです。
私は翻訳家です。
私の趣味は読書です。
私は暗記が得意です。"
PP1656	"私の住む県は、近畿地方にあります。
私は大卒です。
私の頭は白髪が目立ちます。
私は目鼻立ちがハッキリしています。
私は八方美人です。"	"私は公園のそばに住んでいます。
私は寮暮らしです。
私はいつか、庭付きの家に住んでみたいです。
私はアパレル系で働いています。
私はスティーブ・ジョブズに憧れています。"
PP1740	"私は田舎に住んでいます。
私の血液型はO型です。
私のことを大らかと言う人が多いです。
私の趣味はガーデニングです。
私は狭い場所が苦手です。"	"私は九州に住んでいます。
私は高校中退しています。
私はパーマをかけています。
私はラーメンが好きです。
私は鈍感です。"
PP1769	"私の家は、コンビニのすぐそばです。
私はIT系企業で働いています。
私は福耳です。
私はコンビニスイーツに目がありません。
私が尊敬する人は、ビル・ゲイツです。"	"私はレストランで働いています。
私は見習いシェフです。
私は炒飯を作るのが得意です。
私は麻婆豆腐が好きです。
私は辛いものが好きです。"
PP1784	"私は繁華街に住んでいます。
私はタクシー運転手です。
私には双子の兄弟がいます。
私は記憶力に自信がありません。
私は子どもの遊び声を懐かしく感じます。"	"私は青森で生まれました。
私は山のそばに住んでいます。
私は昭和生まれです。
私は広告代理店勤務です。
私の趣味は写真撮影です。"
PP1829	"私は三重県の県庁所在地に住んでいます。
私は獣医師です。
私は足が長いです。
私は乗馬が好きです。
私は閉所恐怖症です。"	"私は熊本県が好きです。
私は東北地方に住んでいます。
私は会社員です。
私はウエストが細いです。
私は人の悪口が苦手です。"
PP1896	"私は家政婦です。
私は姉と暮らしています。
私のペットはウサギです。
私が尊敬する人は、画家のゴッホです。
私は美術部に入っていました。"	"私は茨城で生まれました。
私はパートタイマーです。
私はスーパーで働いています。
私は貯金が趣味です。
私は勉強が不得意です。"
PP1899	"私は4月生まれです。
私の誕生日は、エイプリルフールです。
私は自衛隊員です。
私は責任感が強いです。
私は応援団に入っていました。"	"私は埼玉出身で東京に暮らしています。
私は夏生まれです。
私は方向音痴です。
私は地図が読めないです。
私は雷が苦手です。"
PP1931	"私は徳島に移住してきました。
私はドライブが好きです。
私はキャリアコンサルタントです。
私の趣味はアウトドアレジャーです。
私は人が多い場所が苦手です。"	"私は以前、宮崎に住んでいたことがあります。
私は兼業主婦です。
私は髪の毛が長いです。
私は負けず嫌いです。
私は浪費家です。"
PP1942	"私は転勤族の家庭で育ちました。
私はインドア派です。
私は血液型が不明です。
私の趣味は手芸です。
私は機械に弱いです。"	"私は暑い地域で生まれ育ちました。
私は声が大きいです。
私は涙もろいです。
私は熱中しやすいほうです。
私は演劇部に入っていました。"
PP2015	"私は茨城で生まれました。
私はパートタイマーです。
私はスーパーで働いています。
私は貯金が趣味です。
私は勉強が不得意です。"	"私は福島から引っ越してきました。
私のお気に入りスポットは、鳥取砂丘です。
私は、夢見がちと人からよく言われます。
私は身長が高いほうです。
私は目立つことが苦手です。"
PP2036	"私は福島から引っ越してきました。
私のお気に入りスポットは、鳥取砂丘です。
私は、夢見がちと人からよく言われます。
私は身長が高いほうです。
私は目立つことが苦手です。"	"私は四国に住んでいます。
私は髪の毛を染めています。
私の髪の毛はストレートです。
私はうどんが好きです。
私は自分が大好きです。"
PP2076	"私は大手電機メーカーに勤務しています。
私は、なで肩がコンプレックスです。
私はジムのプールに通っています。
私が尊敬する人は、松下幸之助です。
私はプールの塩素の匂いを懐かしく感じます。"	"私は自営業です。
私は探偵です。
私は犬を飼っています。
私は片付けが苦手です。
私は散歩が趣味です。"
PP2108	"私は乙女座です。
私は小学生です。
私は占い師になりたいです。
私は身長が低いです。
私はニンジンが嫌いです。"	"私の故郷は静岡です。
私がよく飲むのは緑茶です。
私は心理カウンセラーです。
私は水泳が得意です。
私は寒いのが苦手です。"
PP2118	"私は埼玉出身で東京に暮らしています。
私は夏生まれです。
私は方向音痴です。
私は地図が読めないです。
私は雷が苦手です。"	"私は田舎に住んでいます。
私の血液型はO型です。
私のことを大らかと言う人が多いです。
私の趣味はガーデニングです。
私は狭い場所が苦手です。"
PP2138	"私は無神論者です。
私は女性です。
私は肥満体型です。
私はお取り寄せが好きです。
私は不規則な生活をしています。"	"私は東日本に住んでいます。
私は今の会社に新卒で入社しました。
私の髪の毛は、くせ毛です。
私はいつも寝不足です。
私は我慢強いです。"
PP2154	"私は関東に住んでいます。
私は大学院卒です。
私は餃子作りが得意です。
私は姿勢が悪いです。
私は努力家です。"	"私は大手電機メーカーに勤務しています。
私は、なで肩がコンプレックスです。
私はジムのプールに通っています。
私が尊敬する人は、松下幸之助です。
私はプールの塩素の匂いを懐かしく感じます。"
PP2216	"私は栃木に実家があります。
私はドラッグストアの店員です。
私はルームシェアをしています。
私の趣味はネットサーフィンです。
私は遅刻魔です。"	"私は、聞き上手と人からよく言われます。
私はセラピストです。
私はスタイルが良いです。
私は食べ歩きが好きです。
私は猫舌で熱いものが苦手です。"
PP2283	"私は電車通勤しています。
私の仕事は経理です。
私はキャンプに興味があります。
私は数字に強いです。
私は虫が苦手です。"	"私は新潟から出たことがありません。
私は実家暮らしです。
私は整体師です。
私は足が短いです。
私には弟がいます。"
PP2326	"私は岐阜に引っ越してきて間もないです。
私は手先が器用です。
私は美容師になりたかったです。
私は事務職に就いています。
私の趣味はDIYです。"	"私は鹿児島から引っ越してきました。
私は専業主婦です。
私は手が小さいです。
私は焼肉が大好物です。
私は香水の匂いが苦手です。"
PP2378	"私は、地獄耳と人からよく言われます。
私は新聞社勤めです。
私には向上心があります。
私には離婚歴があります。
私たち夫婦はDINKsです。"	"私は青森で生まれました。
私は山のそばに住んでいます。
私は昭和生まれです。
私は広告代理店勤務です。
私の趣味は写真撮影です。"
PP2390	"私は2000年生まれです。
私は消防士になりたいです。
私は温泉が好きです。
私は納豆が嫌いです。
私は卓球部に入っていました。"	"私の誕生日は11月22日、いい夫婦の日です。
私はキャビンアテンダントです。
私の趣味は映画鑑賞です。
私は晴れている日が好きです。
私には好きな人がいます。"
PP2397	"私は自営業です。
私は探偵です。
私は犬を飼っています。
私は片付けが苦手です。
私は散歩が趣味です。"	"私は富山県に嫁いできました。
私は早生まれです。
私の誕生日は、ひな祭りの日です。
私は助産師です。
私の趣味はカラオケです。"
PP2403	"私は以前、沖縄に住んでいたことがあります。
私は海のそばに住んでいます。
私はダンスが得意です。
私は怒りっぽいです。
私が尊敬する人は、母親です。"	"私は運動が好きです。
私はマッサージ師です。
私はスポーツ観戦が趣味です。
私はテニスが好きです。
私はバレーボール部の主将を務めていました。"
PP2419	"私は千葉の学校に通っています。
私の誕生日は、バレンタインデーです。
私は看護師になりたいです。
私の趣味はヨガです。
私は注射が苦手です。"	"私は以前、高知の大学に通っていました。
私は体が柔らかいです。
私はボルダリングが好きです。
私の趣味は筋トレです。
私は苦いものが苦手です。"
PP2424	"私は山梨の方言が好きです。
私の誕生日は、七夕です。
私はホームヘルパーです。
私は胸板が厚いです。
私の趣味は将棋です。"	"私は人と争うのが苦手です。
私は派遣社員です。
私は指が長いです。
私は絵を書くのが好きです。
私はタバコの匂いが苦手です。"
PP2462	"私は暑い地域で生まれ育ちました。
私は声が大きいです。
私は涙もろいです。
私は熱中しやすいほうです。
私は演劇部に入っていました。"	"私はレストランで働いています。
私は見習いシェフです。
私は炒飯を作るのが得意です。
私は麻婆豆腐が好きです。
私は辛いものが好きです。"
PP2470	"私はマンションに住んでいます。
私は旅行代理店勤務です。
私は口が大きいです。
私は歯並びが良いです。
私は人を喜ばせるのが好きです。"	"私はハヤシライスが好きです。
私は安月給です。
私はパートナーと二人暮らしです。
私は外国暮らしに憧れています。
私はグリーンピースが嫌いです。"
PP2498	"私には友だちがたくさんいます。
私は10代です。
私はメイクアップアーティストになりたいです。
私はいつか世界中を飛び回りたいです。
私は吹奏楽部に入っています。"	"私は運動全般が苦手です。
私はソーシャルワーカーです。
私は太めの体型です。
私は料理が好きです。
私はカレーライスを作るのが得意です。"
PP2507	"私は12月生まれです。
私の誕生日は、大みそかです。
私の血液型はA型です。
私は猫を飼っています。
私は占いに興味があります。"	"私は生まれも育ちも兵庫です。
私は神戸市に住んでいます。
私は通訳です。
私は海外旅行をよくします。
私はじっとしていることが苦手です。"
PP2518	"私は埼玉出身で東京に暮らしています。
私は夏生まれです。
私は方向音痴です。
私は地図が読めないです。
私は雷が苦手です。"	"私は以前、高知の大学に通っていました。
私は体が柔らかいです。
私はボルダリングが好きです。
私の趣味は筋トレです。
私は苦いものが苦手です。"
PP2525	"私は長野で生まれ育ちました。
私の誕生日は、クリスマスイブです。
私は薬剤師です。
私は雪かきが得意です。
私は酸っぱいものが苦手です。"	"私は以前、宮崎に住んでいたことがあります。
私は兼業主婦です。
私は髪の毛が長いです。
私は負けず嫌いです。
私は浪費家です。"
