PersonaID	A	B
PP2604	"私は外国生まれです。
私が生まれたのは冬です。
私の誕生日は、正月です。
私は彫りの深い顔立ちです。
私には兄がいます。"	"私は徳島に移住してきました。
私はドライブが好きです。
私はキャリアコンサルタントです。
私の趣味はアウトドアレジャーです。
私は人が多い場所が苦手です。"
PP2708	"私は乙女座です。
私は小学生です。
私は占い師になりたいです。
私は身長が低いです。
私はニンジンが嫌いです。"	"私は福島から引っ越してきました。
私のお気に入りスポットは、鳥取砂丘です。
私は、夢見がちと人からよく言われます。
私は身長が高いほうです。
私は目立つことが苦手です。"
PP2782	"私はへび年生まれです。
私は郵便局員です。
私はセロリが嫌いです。
私は高所恐怖症です。
私は年上の人に好かれます。"	"私は定年退職しました。
私は髪の毛が薄いです。
私は虫歯が1本もないです。
私は妻と熟年離婚しました。
私は釣りが趣味です。"
PP2811	"私は岩手県で生まれました。
私が好きな作家は、宮沢賢治です。
私はネイリストになりたいです。
私はエステティシャンです。
私は熱帯魚を飼っています。"	"私は田舎に住んでいます。
私の血液型はO型です。
私のことを大らかと言う人が多いです。
私の趣味はガーデニングです。
私は狭い場所が苦手です。"
PP2831	"私は徳島に移住してきました。
私はドライブが好きです。
私はキャリアコンサルタントです。
私の趣味はアウトドアレジャーです。
私は人が多い場所が苦手です。"	"私は東日本に住んでいます。
私は今の会社に新卒で入社しました。
私の髪の毛は、くせ毛です。
私はいつも寝不足です。
私は我慢強いです。"
PP2850	"私は鹿児島から引っ越してきました。
私は専業主婦です。
私は手が小さいです。
私は焼肉が大好物です。
私は香水の匂いが苦手です。"	"私には憧れの芸能人がいます。
私はテレビ業界で働いています。
私は肌の色が濃いです。
私には妹がいます。
私は独身貴族です。"
PP2958	"私は九州に住んでいます。
私は高校中退しています。
私はパーマをかけています。
私はラーメンが好きです。
私は鈍感です。"	"私はシングルファーザーです。
私は自動車整備士です。
私は子沢山の家庭で育ちました。
私が尊敬する人は、エジソンです。
私は運動部出身です。"
PP2959	"私は日本中を転々としています。
私は大学を中退しました。
私は転職経験が豊富です。
私はフリーランスで働いています。
私は仕切りたがりです。"	"私は平成生まれです。
私は警察官です。
私は2人の子持ちです。
私は偏食が激しいです。
私は柔道部に入っていました。"
PP2964	"私は高地で育ちました。
私は証券マンです。
私は切れ長の目が自慢です。
私はジョギングが趣味です。
私は、朝にお弁当を作るのが日課です。"	"私は20代前半です。
私は僧侶です。
私は鳥を飼っています。
私は両親と暮らしています。
私は野球部に入っていました。"
PP2977	"私は顔立ちが幼いです。
私は有名な化粧品メーカーで働いています。
私は猫背です。
私は肌の色が白いです。
私は天日干しした布団の匂いを懐かしく感じます。"	"私は12月生まれです。
私の誕生日は、大みそかです。
私の血液型はA型です。
私は猫を飼っています。
私は占いに興味があります。"
PP2995	"私はハヤシライスが好きです。
私は安月給です。
私はパートナーと二人暮らしです。
私は外国暮らしに憧れています。
私はグリーンピースが嫌いです。"	"私は長野で生まれ育ちました。
私の誕生日は、クリスマスイブです。
私は薬剤師です。
私は雪かきが得意です。
私は酸っぱいものが苦手です。"
PP2998	"私には友だちがたくさんいます。
私は10代です。
私はメイクアップアーティストになりたいです。
私はいつか世界中を飛び回りたいです。
私は吹奏楽部に入っています。"	"私は運動が好きです。
私はマッサージ師です。
私はスポーツ観戦が趣味です。
私はテニスが好きです。
私はバレーボール部の主将を務めていました。"
PP3002	"私は青森で生まれました。
私は山のそばに住んでいます。
私は昭和生まれです。
私は広告代理店勤務です。
私の趣味は写真撮影です。"	"私は生まれも育ちも兵庫です。
私は神戸市に住んでいます。
私は通訳です。
私は海外旅行をよくします。
私はじっとしていることが苦手です。"
PP3033	"私は生まれも育ちも兵庫です。
私は神戸市に住んでいます。
私は通訳です。
私は海外旅行をよくします。
私はじっとしていることが苦手です。"	"私は高地で育ちました。
私は証券マンです。
私は切れ長の目が自慢です。
私はジョギングが趣味です。
私は、朝にお弁当を作るのが日課です。"
PP3034	"私は有明湾の近くに住んでいました。
私は古本屋が好きです。
私は農家です。
私は人付き合いが苦手です。
私は本屋の匂いを懐かしく感じます。"	"私は離島の生まれです。
私は商社マンです。
私は鼻が低いです。
私にとって、ステーキはご馳走です。
私は自意識過剰なほうです。"
PP3052	"私は無職です。
私は早期退職しました。
私は髪の毛が短いです。
私は西日本に住んでいます。
私は社交的です。"	"私は電車通勤しています。
私の仕事は経理です。
私はキャンプに興味があります。
私は数字に強いです。
私は虫が苦手です。"
PP3061	"私が育ったのは、寒い地域です。
私はフレックスタイム制の会社で働いています。
私は中途採用の社員です。
私の出身地は、牛タンで有名なところです。
私は頑固です。"	"私は宮城で生まれました。
私はサーフィンが得意です。
私は海上保安官です。
私は牡蠣が嫌いです。
私はウニが好きです。"
PP3065	"私は離島の生まれです。
私は商社マンです。
私は鼻が低いです。
私にとって、ステーキはご馳走です。
私は自意識過剰なほうです。"	"私は家政婦です。
私は姉と暮らしています。
私のペットはウサギです。
私が尊敬する人は、画家のゴッホです。
私は美術部に入っていました。"
PP3112	"私は早起きが苦手です。
私は高校生です。
私はピーマンが嫌いです。
私はおばあちゃん子です。
私は陸上部に入っています。"	"私は以前、高知の大学に通っていました。
私は体が柔らかいです。
私はボルダリングが好きです。
私の趣味は筋トレです。
私は苦いものが苦手です。"
PP3120	"私は横浜出身です。
私は彼女募集中です。
私は救急救命士です。
私は筋肉質です。
私は甘いものが苦手です。"	"私は無職です。
私は早期退職しました。
私は髪の毛が短いです。
私は西日本に住んでいます。
私は社交的です。"
PP3134	"私は有明湾の近くに住んでいました。
私は古本屋が好きです。
私は農家です。
私は人付き合いが苦手です。
私は本屋の匂いを懐かしく感じます。"	"私の住まいは、川のそばにあります。
私は団地暮らしです。
私は鉄道マンです。
私は集中力があります。
私が尊敬する人は、坂本龍馬です。"
PP3148	"私は熊本県が好きです。
私は東北地方に住んでいます。
私は会社員です。
私はウエストが細いです。
私は人の悪口が苦手です。"	"私はアニメオタクです。
私は先日、ゲーム制作会社に就職しました。
私は一人っ子です。
私は石焼き芋の歌を懐かしく感じます。
私は漫研に入っていました。"
PP3168	"私の家は、スーパーの近くにあります。
私はアパート暮らしです。
私は外資系企業に勤めています。
私にとって、おふくろの味はカツ丼です。
私は父を尊敬しています。"	"私は一人暮らしです。
私は、センスが良いと人からよく言われます。
私はスタイリストです。
私は英会話スクールに通っています。
私は流行に敏感です。"
PP3189	"私は平成生まれです。
私は警察官です。
私は2人の子持ちです。
私は偏食が激しいです。
私は柔道部に入っていました。"	"私は富山県に嫁いできました。
私は早生まれです。
私の誕生日は、ひな祭りの日です。
私は助産師です。
私の趣味はカラオケです。"
PP3197	"私は自営業です。
私は探偵です。
私は犬を飼っています。
私は片付けが苦手です。
私は散歩が趣味です。"	"私は三重県の県庁所在地に住んでいます。
私は獣医師です。
私は足が長いです。
私は乗馬が好きです。
私は閉所恐怖症です。"
PP3284	"私は繁華街に住んでいます。
私はタクシー運転手です。
私には双子の兄弟がいます。
私は記憶力に自信がありません。
私は子どもの遊び声を懐かしく感じます。"	"私の実家は群馬です。
私は秋に生まれました。
私は楽器メーカーに勤務しています。
私の趣味は音楽鑑賞です。
私は夕暮れを懐かしく感じます。"
PP3286	"私は占いを信じるほうです。
私はパティシエです。
私はネガティブに考えがちです。
私はくさやを食べたことがありません。
私はお線香やマッチの匂いを懐かしく感じます。"	"私は千葉の学校に通っています。
私の誕生日は、バレンタインデーです。
私は看護師になりたいです。
私の趣味はヨガです。
私は注射が苦手です。"
PP3304	"私は外国生まれです。
私が生まれたのは冬です。
私の誕生日は、正月です。
私は彫りの深い顔立ちです。
私には兄がいます。"	"私は無神論者です。
私は女性です。
私は肥満体型です。
私はお取り寄せが好きです。
私は不規則な生活をしています。"
PP3438	"私は無神論者です。
私は女性です。
私は肥満体型です。
私はお取り寄せが好きです。
私は不規則な生活をしています。"	"私は公園のそばに住んでいます。
私は寮暮らしです。
私はいつか、庭付きの家に住んでみたいです。
私はアパレル系で働いています。
私はスティーブ・ジョブズに憧れています。"
PP3470	"私はマンションに住んでいます。
私は旅行代理店勤務です。
私は口が大きいです。
私は歯並びが良いです。
私は人を喜ばせるのが好きです。"	"私は秋田で生まれました。
私は学校のそばに住んでいます。
私は70年代の生まれです。
私は教師です。
私はチアリーダーをやっていました。"
PP3485	"私は長男です。
私はバスの運転手です。
私は兄弟と暮らしています。
私は焼きそばを作るのが得意です。
私は女性が苦手です。"	"私は横浜出身です。
私は彼女募集中です。
私は救急救命士です。
私は筋肉質です。
私は甘いものが苦手です。"
PP3507	"私は12月生まれです。
私の誕生日は、大みそかです。
私の血液型はA型です。
私は猫を飼っています。
私は占いに興味があります。"	"私は愛媛から転校してきました。
私は中学生です。
私の家は、母一人子一人です。
私は暗い場所が苦手です。
私はホラー映画が苦手です。"
PP3536	"私は福島から引っ越してきました。
私のお気に入りスポットは、鳥取砂丘です。
私は、夢見がちと人からよく言われます。
私は身長が高いほうです。
私は目立つことが苦手です。"	"私は医療関係で働いています。
私は歯並びが悪いです。
私は虫歯があります。
私は歯医者が怖いです。
私が尊敬する人は、ナイチンゲールです。"
PP3545	"私は福岡の彼女と遠距離恋愛中です。
私は大学生です。
私は骨ばった体型です。
私は株取引をやっています。
私はお酒が苦手です。"	"私は早寝早起きがモットーです。
私は新聞配達員です。
私はレバーが嫌いです。
私は海沿いの街で育ちました。
私は海の匂いを懐かしく感じます。"
PP3565	"私は離島の生まれです。
私は商社マンです。
私は鼻が低いです。
私にとって、ステーキはご馳走です。
私は自意識過剰なほうです。"	"私は北海道で生まれました。
私は東京に住んでみたいです。
私は一軒家に住んでいます。
私は介護福祉士です。
私は彼氏いない歴が長いです。"
PP3572	"私は医療関係で働いています。
私は歯並びが悪いです。
私は虫歯があります。
私は歯医者が怖いです。
私が尊敬する人は、ナイチンゲールです。"	"私は乙女座です。
私は小学生です。
私は占い師になりたいです。
私は身長が低いです。
私はニンジンが嫌いです。"
PP3645	"私は福岡の彼女と遠距離恋愛中です。
私は大学生です。
私は骨ばった体型です。
私は株取引をやっています。
私はお酒が苦手です。"	"私はへび年生まれです。
私は郵便局員です。
私はセロリが嫌いです。
私は高所恐怖症です。
私は年上の人に好かれます。"
PP3653	"私は北陸に住んでいます。
私は現在、休職中です。
私は髪の毛が多いです。
私は黒髪です。
私の好物は寿司です。"	"私は2000年生まれです。
私は消防士になりたいです。
私は温泉が好きです。
私は納豆が嫌いです。
私は卓球部に入っていました。"
PP3660	"私は東日本に住んでいます。
私は今の会社に新卒で入社しました。
私の髪の毛は、くせ毛です。
私はいつも寝不足です。
私は我慢強いです。"	"私は自営業です。
私は探偵です。
私は犬を飼っています。
私は片付けが苦手です。
私は散歩が趣味です。"
PP3661	"私が育ったのは、寒い地域です。
私はフレックスタイム制の会社で働いています。
私は中途採用の社員です。
私の出身地は、牛タンで有名なところです。
私は頑固です。"	"私には友だちがたくさんいます。
私は10代です。
私はメイクアップアーティストになりたいです。
私はいつか世界中を飛び回りたいです。
私は吹奏楽部に入っています。"
PP3674	"私は姿勢が良いです。
私は空港会社に勤務しています。
私には尊敬する先輩がいます。
私には歳の離れた姉がいます。
私はしょうが焼きが好きです。"	"私は岩手県で生まれました。
私が好きな作家は、宮沢賢治です。
私はネイリストになりたいです。
私はエステティシャンです。
私は熱帯魚を飼っています。"
PP3680	"私はアニメオタクです。
私は先日、ゲーム制作会社に就職しました。
私は一人っ子です。
私は石焼き芋の歌を懐かしく感じます。
私は漫研に入っていました。"	"私の実家は群馬です。
私は秋に生まれました。
私は楽器メーカーに勤務しています。
私の趣味は音楽鑑賞です。
私は夕暮れを懐かしく感じます。"
PP3694	"私は20代前半です。
私は僧侶です。
私は鳥を飼っています。
私は両親と暮らしています。
私は野球部に入っていました。"	"私は徳島に移住してきました。
私はドライブが好きです。
私はキャリアコンサルタントです。
私の趣味はアウトドアレジャーです。
私は人が多い場所が苦手です。"
PP3705	"私は秋田で生まれました。
私は学校のそばに住んでいます。
私は70年代の生まれです。
私は教師です。
私はチアリーダーをやっていました。"	"私は愛媛から転校してきました。
私は中学生です。
私の家は、母一人子一人です。
私は暗い場所が苦手です。
私はホラー映画が苦手です。"
PP3725	"私は長野で生まれ育ちました。
私の誕生日は、クリスマスイブです。
私は薬剤師です。
私は雪かきが得意です。
私は酸っぱいものが苦手です。"	"私は一年中、温暖な地域で育ちました。
私は転職したことが一度もないです。
私は、のんびりした性格と人によく言われます。
私はウナギが大好物です。
私は弱虫な自分が嫌いです。"
PP3753	"私は北陸に住んでいます。
私は現在、休職中です。
私は髪の毛が多いです。
私は黒髪です。
私の好物は寿司です。"	"私は30代です。
私には子どもが1人います。
私は夫と死別しました。
私は明るさが取り柄です。
私はバスケットボール部に入っていました。"
PP3762	"私は暑い地域で生まれ育ちました。
私は声が大きいです。
私は涙もろいです。
私は熱中しやすいほうです。
私は演劇部に入っていました。"	"私は一人暮らしです。
私は、センスが良いと人からよく言われます。
私はスタイリストです。
私は英会話スクールに通っています。
私は流行に敏感です。"
PP3766	"私の住まいは、川のそばにあります。
私は団地暮らしです。
私は鉄道マンです。
私は集中力があります。
私が尊敬する人は、坂本龍馬です。"	"私は外国生まれです。
私が生まれたのは冬です。
私の誕生日は、正月です。
私は彫りの深い顔立ちです。
私には兄がいます。"
PP3772	"私は医療関係で働いています。
私は歯並びが悪いです。
私は虫歯があります。
私は歯医者が怖いです。
私が尊敬する人は、ナイチンゲールです。"	"私は定年退職しました。
私は髪の毛が薄いです。
私は虫歯が1本もないです。
私は妻と熟年離婚しました。
私は釣りが趣味です。"
PP3778	"私は、地獄耳と人からよく言われます。
私は新聞社勤めです。
私には向上心があります。
私には離婚歴があります。
私たち夫婦はDINKsです。"	"私は栃木に実家があります。
私はドラッグストアの店員です。
私はルームシェアをしています。
私の趣味はネットサーフィンです。
私は遅刻魔です。"
PP3832	"私は大阪在住です。
私の得意料理はたこ焼きです。
私は翻訳家です。
私の趣味は読書です。
私は暗記が得意です。"	"私はブライダル関係の会社に勤務しています。
私はえくぼがトレードマークです。
私はハムスターを飼っていました。
私は人と話すのが好きです。
私は雨の日が好きです。"
PP3891	"私は30代です。
私には子どもが1人います。
私は夫と死別しました。
私は明るさが取り柄です。
私はバスケットボール部に入っていました。"	"私の故郷は静岡です。
私がよく飲むのは緑茶です。
私は心理カウンセラーです。
私は水泳が得意です。
私は寒いのが苦手です。"
PP3905	"私は秋田で生まれました。
私は学校のそばに住んでいます。
私は70年代の生まれです。
私は教師です。
私はチアリーダーをやっていました。"	"私は福岡の彼女と遠距離恋愛中です。
私は大学生です。
私は骨ばった体型です。
私は株取引をやっています。
私はお酒が苦手です。"
PP3936	"私は福島から引っ越してきました。
私のお気に入りスポットは、鳥取砂丘です。
私は、夢見がちと人からよく言われます。
私は身長が高いほうです。
私は目立つことが苦手です。"	"私は大手電機メーカーに勤務しています。
私は、なで肩がコンプレックスです。
私はジムのプールに通っています。
私が尊敬する人は、松下幸之助です。
私はプールの塩素の匂いを懐かしく感じます。"
PP3959	"私は日本中を転々としています。
私は大学を中退しました。
私は転職経験が豊富です。
私はフリーランスで働いています。
私は仕切りたがりです。"	"私は4月生まれです。
私の誕生日は、エイプリルフールです。
私は自衛隊員です。
私は責任感が強いです。
私は応援団に入っていました。"
PP3973	"私は公園のそばに住んでいます。
私は寮暮らしです。
私はいつか、庭付きの家に住んでみたいです。
私はアパレル系で働いています。
私はスティーブ・ジョブズに憧れています。"	"私は山形で生まれました。
私の夢はファッションデザイナーです。
私はコンビニの店員です。
私は漫画を読むのが好きです。
私は暑さが苦手です。"
PP3975	"私はいつか、平屋に住んでみたいです。
私は2月生まれです。
私は肩幅が広いです。
私は独身です。
私は雪が好きです。"	"私は茨城で生まれました。
私はパートタイマーです。
私はスーパーで働いています。
私は貯金が趣味です。
私は勉強が不得意です。"
PP4037	"私は島根県在住です。
私は男性です。
私は細身の体型です。
私は国内旅行をよくします。
私はサイクリングが好きです。"	"私は、地獄耳と人からよく言われます。
私は新聞社勤めです。
私には向上心があります。
私には離婚歴があります。
私たち夫婦はDINKsです。"
PP4039	"私は、聞き上手と人からよく言われます。
私はセラピストです。
私はスタイルが良いです。
私は食べ歩きが好きです。
私は猫舌で熱いものが苦手です。"	"私はアニメオタクです。
私は先日、ゲーム制作会社に就職しました。
私は一人っ子です。
私は石焼き芋の歌を懐かしく感じます。
私は漫研に入っていました。"
PP4040	"私は田舎に住んでいます。
私の血液型はO型です。
私のことを大らかと言う人が多いです。
私の趣味はガーデニングです。
私は狭い場所が苦手です。"	"私は早寝早起きがモットーです。
私は新聞配達員です。
私はレバーが嫌いです。
私は海沿いの街で育ちました。
私は海の匂いを懐かしく感じます。"
PP4060	"私は東日本に住んでいます。
私は今の会社に新卒で入社しました。
私の髪の毛は、くせ毛です。
私はいつも寝不足です。
私は我慢強いです。"	"私は北海道で生まれました。
私は東京に住んでみたいです。
私は一軒家に住んでいます。
私は介護福祉士です。
私は彼氏いない歴が長いです。"
PP4141	"私は愛知で育ちました。
私は名古屋めしを愛してやみません。
私の趣味はプラモデルです。
私は人の目を見て話すことが苦手です。
私は初対面の人が苦手です。"	"私は電車通勤しています。
私の仕事は経理です。
私はキャンプに興味があります。
私は数字に強いです。
私は虫が苦手です。"
PP4176	"私は大手電機メーカーに勤務しています。
私は、なで肩がコンプレックスです。
私はジムのプールに通っています。
私が尊敬する人は、松下幸之助です。
私はプールの塩素の匂いを懐かしく感じます。"	"私は埼玉出身で東京に暮らしています。
私は夏生まれです。
私は方向音痴です。
私は地図が読めないです。
私は雷が苦手です。"
PP4185	"私は長男です。
私はバスの運転手です。
私は兄弟と暮らしています。
私は焼きそばを作るのが得意です。
私は女性が苦手です。"	"私は滋賀県で開業しました。
私は医師です。
私はゴルフが得意です。
私は優柔不断です。
私は車の運転が下手です。"
PP4187	"私はレストランで働いています。
私は見習いシェフです。
私は炒飯を作るのが得意です。
私は麻婆豆腐が好きです。
私は辛いものが好きです。"	"私は三重県の県庁所在地に住んでいます。
私は獣医師です。
私は足が長いです。
私は乗馬が好きです。
私は閉所恐怖症です。"
